date,open,high,low,close,volume
2022-01-03,1.9992,2.0193,1.987,2.0141,1429753
2022-01-04,2.0236,2.0298,2.0127,2.0165,1662768
2022-01-05,2.0137,2.0156,1.9844,1.9997,982524
2022-01-06,1.9936,1.9961,1.9696,1.9768,1076308
2022-01-07,1.9755,2.0194,1.9642,2.0189,1336685
2022-01-10,2.0119,2.0183,2.0071,2.0153,1412491
2022-01-11,2.0265,2.0266,1.9997,2.0082,1746763
2022-01-12,2.0094,2.0252,1.9622,1.9726,1559058
2022-01-13,1.9736,1.9964,1.9713,1.9955,1056443
2022-01-14,1.9927,2.0012,1.9685,1.9712,971087
2022-01-17,1.969,1.9839,1.9641,1.9785,1809299
2022-01-18,1.9735,2.0036,1.9709,2.0011,1792663
2022-01-19,2.0,2.0089,1.9761,1.9856,1743757
2022-01-20,1.9852,2.0337,1.9823,2.0256,1306464
2022-01-21,2.0349,2.0463,2.0222,2.046,714076
2022-01-24,2.0465,2.0742,2.0457,2.0717,903729
2022-01-25,2.0739,2.0862,2.0628,2.0671,1257451
2022-01-26,2.0728,2.0755,2.0528,2.0572,1653980
2022-01-27,2.0632,2.072,2.0605,2.0662,1382367
2022-01-28,2.068,2.0702,2.0226,2.0226,1429623
2022-01-31,2.0201,2.0228,1.9708,1.9772,1451614
2022-02-01,1.9884,2.0018,1.9863,2.0004,1477666
2022-02-02,2.0002,2.0007,1.9235,1.9427,1442291
2022-02-03,1.9425,1.9604,1.9336,1.9513,1725579
2022-02-04,1.9459,1.9801,1.935,1.969,1676057
2022-02-07,1.9632,2.0323,1.9624,2.0277,1348957
2022-02-08,2.0281,2.0367,1.9772,1.9809,1224172
2022-02-09,1.9763,2.0248,1.9698,2.0222,1130740
2022-02-10,2.0301,2.0502,2.0286,2.0371,1577964
2022-02-11,2.0295,2.0642,2.0253,2.0533,1589095
2022-02-14,2.0554,2.0688,2.0535,2.0632,1587921
2022-02-15,2.0747,2.0786,2.0427,2.0525,1696966
2022-02-16,2.0573,2.0669,2.0206,2.0273,1789012
2022-02-17,2.0323,2.0604,2.0303,2.0448,1273879
2022-02-18,2.0398,2.0405,2.0099,2.0126,1583007
2022-02-21,2.0127,2.0495,2.0106,2.0377,2316050
2022-02-22,2.0324,2.0603,2.0285,2.0515,1432961
2022-02-23,2.0544,2.077,2.0475,2.0764,1045545
2022-02-24,2.0818,2.0835,2.0575,2.0678,1551954
2022-02-25,2.0623,2.0755,2.0618,2.0742,1157108
2022-02-28,2.0777,2.0979,2.069,2.0889,1086699
2022-03-01,2.0921,2.0964,2.0584,2.0627,2655819
2022-03-02,2.0697,2.0954,2.0643,2.0874,1405419
2022-03-03,2.0826,2.1083,2.0785,2.1063,1524562
2022-03-04,2.0945,2.1732,2.081,2.1672,1358420
2022-03-07,2.1676,2.2125,2.1614,2.203,1703879
2022-03-08,2.2045,2.2049,2.1746,2.1803,2143183
2022-03-09,2.1671,2.1893,2.1613,2.1877,1755730
2022-03-10,2.1869,2.1914,2.1535,2.1609,1139911
2022-03-11,2.1579,2.1635,2.1319,2.147,1621494
2022-03-14,2.1529,2.1712,2.1035,2.1122,1044189
2022-03-15,2.1203,2.1263,2.1011,2.1049,1732390
2022-03-16,2.1045,2.1318,2.0667,2.0752,1424229
2022-03-17,2.0854,2.0973,2.0427,2.0463,1539222
2022-03-18,2.0375,2.0913,2.0374,2.0816,1205547
2022-03-21,2.0828,2.1023,2.0822,2.0973,1384405
2022-03-22,2.1014,2.1184,2.091,2.105,2139910
2022-03-23,2.104,2.109,2.0401,2.0424,1313190
2022-03-24,2.0394,2.0442,2.0261,2.0331,1607104
2022-03-25,2.0385,2.041,2.0108,2.0173,1688888
2022-03-28,2.014,2.02,1.9841,1.9889,1493729
2022-03-29,1.9965,2.0048,1.9922,2.0001,1439342
2022-03-30,2.0066,2.0133,1.9936,2.0001,1891643
2022-03-31,2.0042,2.0073,2.0016,2.0048,1460957
2022-04-01,2.0084,2.0179,1.9916,2.0113,1198194
2022-04-04,2.0183,2.0247,1.9766,1.9815,1688503
2022-04-05,1.9762,1.9768,1.9705,1.9759,1792535
2022-04-06,1.971,1.9735,1.9634,1.9666,1330882
2022-04-07,1.968,1.97,1.9398,1.9438,1358688
2022-04-08,1.9353,1.953,1.9298,1.9421,1435965
2022-04-11,1.9507,1.9665,1.9494,1.9598,1494295
2022-04-12,1.9597,1.9619,1.9277,1.9302,1251830
2022-04-13,1.9391,1.955,1.9359,1.9542,1707043
2022-04-14,1.9555,1.9556,1.9429,1.9437,1268097
2022-04-15,1.9466,1.9586,1.9391,1.9473,2145954
2022-04-18,1.9524,1.9539,1.913,1.93,1257510
2022-04-19,1.9265,1.9428,1.8982,1.9022,1272260
2022-04-20,1.9042,1.9228,1.8969,1.9085,1326928
2022-04-21,1.9113,1.9214,1.8717,1.8855,1853832
2022-04-22,1.8758,1.886,1.8618,1.8626,1871344
2022-04-25,1.8593,1.8593,1.8145,1.8148,1364980
2022-04-26,1.809,1.8269,1.8081,1.8259,1654331
2022-04-27,1.8197,1.8505,1.8104,1.8392,1599694
2022-04-28,1.8477,1.8486,1.8184,1.827,1520255
2022-04-29,1.8366,1.8953,1.8295,1.8934,1693612
2022-05-02,1.8879,1.9319,1.8799,1.9266,972378
2022-05-03,1.9149,1.9169,1.8755,1.8809,1950707
2022-05-04,1.8901,1.9026,1.8772,1.8922,1483335
2022-05-05,1.892,1.9186,1.8913,1.9029,1108659
2022-05-06,1.905,1.9313,1.9011,1.9241,1182235
2022-05-09,1.9296,1.9372,1.9239,1.9278,1340922
2022-05-10,1.9272,1.9352,1.9,1.9043,1140636
2022-05-11,1.9045,1.9661,1.9028,1.9606,1466301
2022-05-12,1.9642,1.9702,1.9535,1.9577,1327254
2022-05-13,1.9442,1.956,1.9256,1.9362,1993490
2022-05-16,1.9395,1.9419,1.9085,1.9323,1835872
2022-05-17,1.9267,1.9391,1.9215,1.923,1273094
2022-05-18,1.9193,1.9276,1.8657,1.8783,1764491
2022-05-19,1.8867,1.8873,1.88,1.8865,1956937
2022-05-20,1.8806,1.8972,1.874,1.8958,1085160
2022-05-23,1.9067,1.944,1.9024,1.9331,1304807
2022-05-24,1.9297,1.9364,1.9152,1.9156,1250714
2022-05-25,1.9153,1.9249,1.9084,1.9231,1326968
2022-05-26,1.926,1.9554,1.9252,1.9478,1725416
2022-05-27,1.951,1.9561,1.8978,1.9021,1271022
2022-05-30,1.8928,1.8932,1.8397,1.8416,1228705
